Curso;Unidade de execução;Turno;Turma;Inscritos no turno;Turnos com capacidade superior à capacidade das características das salas;Turno com inscrições superiores à capacidade das salas;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala
MES;Educação ao Longo da Vida;00505TP01;MESA1;51;VERDADEIRO;FALSO;Sex;18:00:00;20:00:00;02/12/2022;Sala Aulas Mestrado;C3.01;54;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Programação Orientada para Objectos;L5315PL16;ET-B8, ET-B7, ET-B6, ET-B5;30;VERDADEIRO;FALSO;Qua;09:30:00;11:00:00;30/11/2022;Laboratório de Informática;0S02;41;Horário sala visível portal público, Laboratório de Informática
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Programação Orientada para Objectos;L5315PL16;ET-B8, ET-B7, ET-B6, ET-B5;30;VERDADEIRO;FALSO;Qua;11:00:00;12:30:00;30/11/2022;Laboratório de Informática;0S02;41;Horário sala visível portal público, Laboratório de Informática
PGIAO, MAP;Sociedade da Informação e do Conhecimento;00842TP02;MAPA1;46;VERDADEIRO;FALSO;Ter;18:00:00;20:00:00;29/11/2022;Sala Aulas Mestrado;Auditório Silva Leal;60;Sala/anfiteatro aulas, Horário sala visível portal público
LIGE, LIGE-PL;Álgebra;L0135TP01;IGE-A9, IGE-A8, IGE-A7, IGE-A12, IGE-A11, IGE-A10;52;FALSO;FALSO;Ter;16:00:00;17:30:00;29/11/2022;Sala de Aulas normal;Auditório B2.04;192;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LIGE, LIGE-PL;Álgebra;L0135TP01;IGE-A9, IGE-A8, IGE-A7, IGE-A12, IGE-A11, IGE-A10;52;FALSO;FALSO;Qua;13:00:00;14:30:00;30/11/2022;Sala de Aulas normal;Auditório B2.04;192;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
DEInt;Seminário de Projeto em Estudos Internacionais;04185S01;DEIA1;22;VERDADEIRO;FALSO;Sex;18:00:00;20:00:00;02/12/2022;Sala Aulas Mestrado;C4.05;30;Sala/anfiteatro aulas, Horário sala visível portal público
MIA;Comunicação Visual II;03829TP01;ARQ-C3, ARQ-C2, ARQ-C1;38;FALSO;FALSO;Ter;11:00:00;12:30:00;29/11/2022;Sala/anfiteatro aulas;Auditório C1.03;70;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
MIA;Comunicação Visual II;03829TP01;ARQ-C3, ARQ-C2, ARQ-C1;38;FALSO;FALSO;Ter;09:30:00;11:00:00;29/11/2022;Sala/anfiteatro aulas;Auditório C1.03;70;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
MCTRL;Relações de Trabalho e Sindicalismo;00011TP01;MCTRLA1;56;VERDADEIRO;FALSO;Seg;18:00:00;20:00:00;28/11/2022;Sala Aulas Mestrado;C4.08;58;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LGIL;Modelação de Sistemas e Processos;02132TP02;GILC2;28;FALSO;FALSO;Sex;08:00:00;09:30:00;02/12/2022;Sala/anfiteatro aulas;C2.02;36;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LG;Finanças de Empresa;FEmpTP01;GC3;43;VERDADEIRO;FALSO;Sex;08:00:00;09:30:00;02/12/2022;Sala de Aulas normal;1E05;52;Sala/anfiteatro aulas, Horário sala visível portal público
MEGC;Dissertação em Estudos e Gestão da Cultura;DissEGCS01;MEGCB1;52;VERDADEIRO;FALSO;Qua;18:00:00;20:00:00;30/11/2022;Sala Aulas Mestrado;C2.01;54;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
MCP, MCTRL, MES, MEA, MPP, MS;Métodos de Pesquisa em Ciências Sociais;00553TP03;MSA2;55;FALSO;VERDADEIRO;Sex;18:00:00;20:00:00;02/12/2022;Sala/anfiteatro aulas;2E06;50;Sala/anfiteatro aulas, Horário sala visível portal público
LG, LGM;Marketing Operacional;MOpeTP02;GMKB1;42;VERDADEIRO;FALSO;Qua;11:00:00;12:30:00;30/11/2022;Sala de Aulas normal;C4.01;52;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LG, LGM;Marketing Operacional;MOpeTP02;GMKB1;42;VERDADEIRO;FALSO;Ter;11:00:00;12:30:00;29/11/2022;Sala de Aulas normal;C4.01;52;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LG, LGM;Marketing Operacional;MOpeTP02;GMKB1;42;VERDADEIRO;FALSO;Seg;11:00:00;12:30:00;28/11/2022;Sala de Aulas normal;C4.01;52;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
CT;Técnicas de Comunicação;02255TP01;CI-CT-01;30;VERDADEIRO;FALSO;Seg;09:30:00;12:30:00;28/11/2022;Sala de Aulas normal;AA2.25;34;Sala/anfiteatro aulas, Horário sala visível portal público
MEPP;Política Industrial e Competitividade;03339TP01;MEPP-A1;43;FALSO;FALSO;Qua;20:00:00;22:00:00;30/11/2022;Sala/anfiteatro aulas;AA3.23;52;Sala/anfiteatro aulas, Horário sala visível portal público
LGM;Economia;L0215PL03;GMKA1;38;FALSO;FALSO;Sex;13:00:00;14:30:00;02/12/2022;Sala de Aulas normal;C4.01;52;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LEI, LEI-PL;Probabilidades e Processos Estocásticos;PPETP01;EI-B6, EI-B5, EI-B4, EI-B3, EI-B2, EI-B1;46;VERDADEIRO;FALSO;Sex;08:00:00;09:30:00;02/12/2022;Sala de Aulas normal;C6.10;80;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LEI, LEI-PL;Probabilidades e Processos Estocásticos;PPETP01;EI-B6, EI-B5, EI-B4, EI-B3, EI-B2, EI-B1;46;VERDADEIRO;FALSO;Qua;08:00:00;09:30:00;30/11/2022;Sala de Aulas normal;C6.10;80;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LE;Matemática I;L0101TP02;EA2;32;FALSO;FALSO;Qua;09:30:00;11:00:00;30/11/2022;Sala de Aulas normal;C2.01;54;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LE;Matemática I;L0101TP02;EA2;32;FALSO;FALSO;Ter;09:30:00;11:00:00;29/11/2022;Sala de Aulas normal;C6.02;40;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LCP;Economia Política e Globalização;02858TP01;CPC1;69;VERDADEIRO;VERDADEIRO;Qua;13:00:00;14:30:00;30/11/2022;Sala de Aulas normal;Auditório C1.03;70;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LCP;Economia Política e Globalização;02858TP01;CPC1;69;VERDADEIRO;VERDADEIRO;Qua;11:00:00;12:30:00;30/11/2022;Sala de Aulas normal;;0;
LIGE, LIGE-PL;Investimentos e Mercados Financeiros;IMFTP02;IGE-B9, IGE-B8, IGE-B7, IGE-B12, IGE-B11, IGE-B10;39;VERDADEIRO;FALSO;Qua;08:00:00;09:30:00;30/11/2022;Sala de Aulas normal;2E10;50;Sala/anfiteatro aulas, Horário sala visível portal público
LIGE, LIGE-PL;Investimentos e Mercados Financeiros;IMFTP02;IGE-B9, IGE-B8, IGE-B7, IGE-B12, IGE-B11, IGE-B10;39;VERDADEIRO;FALSO;Ter;08:00:00;09:30:00;29/11/2022;Sala de Aulas normal;2E10;50;Sala/anfiteatro aulas, Horário sala visível portal público
MEA;Dinâmicas Sociais e Culturais de África;00023TP01;MEAA1;53;VERDADEIRO;FALSO;Ter;18:00:00;20:00:00;29/11/2022;Sala Aulas Mestrado;C5.01;58;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
MGRHCO;Gestão Estratégica e Internacional de Recursos Humanos;03350TP02;MGRHCOA2, MGRHCOA1;36;VERDADEIRO;FALSO;Sex;11:00:00;12:30:00;02/12/2022;Sala Aulas Mestrado;B2.01;52;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
MGRHCO;Gestão Estratégica e Internacional de Recursos Humanos;03350TP02;MGRHCOA2, MGRHCOA1;36;VERDADEIRO;FALSO;Sex;09:30:00;11:00:00;02/12/2022;Sala Aulas Mestrado;B2.01;52;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
MGRHCO;Gestão Estratégica e Internacional de Recursos Humanos;03350TP02;MGRHCOA2, MGRHCOA1;36;VERDADEIRO;FALSO;Ter;11:00:00;12:30:00;29/11/2022;Sala Aulas Mestrado;B2.01;52;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
MGRHCO;Gestão Estratégica e Internacional de Recursos Humanos;03350TP02;MGRHCOA2, MGRHCOA1;36;VERDADEIRO;FALSO;Ter;09:30:00;11:00:00;29/11/2022;Sala Aulas Mestrado;B2.01;52;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LFC;Finanças Internacionais;L0626TP01;FCC1;25;VERDADEIRO;FALSO;Seg;11:00:00;12:30:00;28/11/2022;Sala de Aulas normal;C5.02;46;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
